,Store ID,Banner,Region
0,66999,Walmart,Northern California
1,4698,Trader Joes,Northern California
2,39482,Safeway,Northern California
3,34957,Whole Foods,Northern California
4,12837,Walmart,New York
5,9487,Trader Joes,New York
6,2938,Wegmans,New York
7,50948,Whole Foods,New York
8,40593,Walmart,Kansas
9,29384,Trader Joes,Kansas
10,3948,Wegmans,Kansas
11,39485,Safeway,Kansas
12,39287,Whole Foods,Kansas
13,50495,Walmart,Texas
14,40586,Trader Joes,Texas
15,98638,Wegmans,Texas
16,29382,Safeway,Texas
17,98736,Whole Foods,Texas
18,6746,Kroger,Northern California
19,77955,Kroger,New York
20,66356,Kroger,Texas
21,99997,Kroger,Kansas
22,29342,Walmart,Hawaii
23,11123,Trader Joes,Hawaii
24,39284,Wegmans,Hawaii
25,40582,Safeway,Hawaii
26,59582,Whole Foods,Hawaii
27,50692,Kroger,Hawaii
